age_bracket,fraction_male,fraction_female
0_4,0.516384704519119,0.483615295480881
5_9,0.511717417783191,0.488282582216809
10_14,0.510650410361023,0.489349589638977
15_19,0.519275108364844,0.480724891635156
20_24,0.10108125819135,0.89891874180865
25_29,0.512375762692352,0.487624237307648
30_34,0.508124953624694,0.491875046375306
35_39,0.497620790629575,0.502379209370425
40_44,0.502543744700532,0.497456255299468
45_49,0.496957681000889,0.503042318999111
50_54,0.511455674261763,0.488544325738237
55_59,0.500578602237262,0.499421397762738
60_64,0.905818983106178,0.094181016893822
65_69,0.47626867252887,0.52373132747113
70_74,0.468948746726525,0.531051253273475
75_79,0.45619812936372,0.54380187063628
80_84,0.410790598290598,0.589209401709402
85_89,0.366395388267209,0.633604611732791
90_94,0.288422751109318,0.711577248890682
95_100,0.217993079584775,0.782006920415225
