date,day,new_positives,new_tests,cumulative_positives,cumulative_tests,evacuated,evacuated_positives,notes
20-Jan-20,0,,,,,,,
21-Jan-20,1,,,,,,,
22-Jan-20,2,,,,,,,
23-Jan-20,3,,,,,,,
24-Jan-20,4,,,,,,,
25-Jan-20,5,,,,,,,
26-Jan-20,6,,,,,,,
27-Jan-20,7,,,,,,,
28-Jan-20,8,,,,,,,
29-Jan-20,9,,,,,,,
30-Jan-20,10,,,,,,,
31-Jan-20,11,,,,,,,
01-Feb-20,12,,,,,,,
02-Feb-20,13,1,,,,,,
03-Feb-20,14,,,,,,,
04-Feb-20,15,,,,,,,
05-Feb-20,16,10,31,10,31,,,
06-Feb-20,17,10,71,20,102,,,
07-Feb-20,18,41,171,61,273,,,
08-Feb-20,19,3,6,64,279,,,
09-Feb-20,20,6,57,70,336,,,
10-Feb-20,21,65,103,135,439,,,
11-Feb-20,22,,,135,439,,,
12-Feb-20,23,39,53,174,492,,,
13-Feb-20,24,44,221,218,713,,,
14-Feb-20,25,,,218,713,,,
15-Feb-20,26,67,217,285,930,,,Number of tests for the 15th and 16th estimated
16-Feb-20,27,70,289,355,1219,,,Source: https://japantoday.com/category/national/Number-of-infections-on-virus-hit-ship-in-Yokohama-up-70-to-355 
17-Feb-20,28,99,504,454,1723,328,14,"Source: https://japantoday.com/category/national/japan-confirms-99-more-cases-of-new-virus-on-cruise-ship; evacuation: https://www.nytimes.com/2020/02/17/world/asia/china-coronavirus.html, https://www.cnn.com/2020/02/15/politics/americans-coronavirus-evacuate-quarantine-cruise-ship/index.html"
18-Feb-20,29,88,681,542,2404,,,Data source TBC
19-Feb-20,30,79,607,621,3011,,,Tests estimated
20-Feb-20,31,,,,,970,52,"Most passengers evacuated, 700 diagnosed total?: https://www.sciencemag.org/news/2020/02/coronavirus-infections-keep-mounting-after-cruise-ship-fiasco-japan, https://www.theguardian.com/world/2020/feb/23/coronavirus-woman-on-diamond-princess-cruise-ship-tested-positive-after-disembarking"
,,,,,,,,
,,,,,,,,Updated data based on?: https://docs.google.com/spreadsheets/d/1R4w87T2AoM3-5mSOpz7dhHJ0EsNaZXHM5BG5NE3p8zA/edit#gid=0
