,cum_exposed,n_exposed
0,100.0,0.0
1,100.0,100.0
2,125.0,125.0
3,150.0,150.0
4,175.0,175.0
5,212.5,200.0
6,237.5,237.5
7,312.5,300.0
8,337.5,325.0
9,450.0,437.5
10,475.0,475.0
11,562.5,537.5
12,662.5,625.0
13,775.0,700.0
14,875.0,825.0
15,987.5,937.5
16,1125.0,1000.0
17,1262.5,1100.0
18,1400.0,1175.0
19,1537.5,1287.5
20,1712.5,1437.5
21,1875.0,1525.0
22,2012.5,1662.5
23,2137.5,1700.0
24,2300.0,1762.5
25,2512.5,1812.5
26,2725.0,1887.5
27,2925.0,1925.0
28,3162.5,2075.0
29,3412.5,2200.0
30,3687.5,2375.0
31,3925.0,2437.5
32,4237.5,2675.0
33,4500.0,2812.5
34,4800.0,2937.5
35,5187.5,3275.0
36,5650.0,3537.5
37,5950.0,3662.5
38,6337.5,3850.0
39,6750.0,4050.0
40,7150.0,4225.0
41,7700.0,4500.0
42,8025.0,4700.0
43,8400.0,4812.5
44,9087.5,5050.0
45,9737.5,5512.5
