,cum_exposed,n_exposed
0,100.0,0.0
1,125.0,125.0
2,125.0,125.0
3,137.5,137.5
4,175.0,175.0
5,200.0,200.0
6,250.0,250.0
7,275.0,275.0
8,312.5,300.0
9,375.0,362.5
10,450.0,412.5
11,500.0,487.5
12,587.5,562.5
13,700.0,625.0
14,750.0,712.5
15,850.0,750.0
16,912.5,837.5
17,1037.5,887.5
18,1075.0,925.0
19,1100.0,950.0
20,1125.0,900.0
21,1187.5,925.0
22,1237.5,950.0
23,1262.5,912.5
24,1300.0,862.5
25,1337.5,837.5
26,1350.0,812.5
27,1362.5,687.5
28,1387.5,662.5
29,1450.0,637.5
30,1475.0,612.5
31,1487.5,562.5
32,1525.0,537.5
33,1562.5,512.5
34,1575.0,475.0
35,1587.5,425.0
36,1587.5,362.5
37,1600.0,337.5
38,1625.0,350.0
39,1637.5,312.5
40,1650.0,312.5
41,1650.0,300.0
42,1650.0,287.5
43,1662.5,275.0
44,1675.0,287.5
45,1675.0,275.0
