,cum_exposed,n_exposed
0,100.0,0.0
1,125.0,125.0
2,175.0,175.0
3,200.0,200.0
4,225.0,225.0
5,262.5,250.0
6,325.0,312.5
7,375.0,362.5
8,412.5,400.0
9,462.5,437.5
10,512.5,512.5
11,587.5,575.0
12,725.0,662.5
13,825.0,775.0
14,900.0,862.5
15,1050.0,900.0
16,1187.5,1012.5
17,1337.5,1075.0
18,1425.0,1200.0
19,1550.0,1212.5
20,1625.0,1325.0
21,1700.0,1362.5
22,1812.5,1350.0
23,1887.5,1425.0
24,2012.5,1487.5
25,2075.0,1412.5
26,2212.5,1362.5
27,2350.0,1462.5
28,2475.0,1500.0
29,2625.0,1500.0
30,2737.5,1487.5
31,2900.0,1550.0
32,3000.0,1600.0
33,3125.0,1562.5
34,3212.5,1612.5
35,3375.0,1687.5
36,3587.5,1762.5
37,3762.5,1812.5
38,3912.5,1837.5
39,4037.5,1862.5
40,4200.0,1850.0
41,4312.5,1875.0
42,4425.0,1900.0
43,4550.0,1925.0
44,4650.0,1987.5
45,4787.5,1962.5
