family_size,household_head_age_18_20,household_head_age_20_24,household_head_age_25_29,household_head_age_30_34,household_head_age_35_39,household_head_age_40_44,household_head_age_45_49,household_head_age_50_54,household_head_age_55_59,household_head_age_60_64,household_head_age_65_69,household_head_age_70_74
2,1036,29215,76336,69893,56643,50615,69682,120970,147723,140958,126186,111042
3,423,9284,34172,58815,63048,58742,76843,97010,79813,48995,27693,16221
4,260,4041,16621,46611,81052,86467,86183,71052,33665,15013,4519,1547
5,328,3659,10851,27093,39788,47819,51619,30424,19476,6896,2107,138
